,Country,GDP,Relative GDP,Capita,Relative Capita
3,Lithuania,55.064,0,38587,0.260787335
2,Hungary,149.939,0.025466456,33992,0.0998529
0,Greece,194.376,0.037394286,31572,0.015095265
1,Romania,248.624,0.051955596,31141,0
6,Finland,267.856,0.057117871,50748,0.686711964
11,Denmark,339.626,0.076382456,57572,0.925714486
10,Sweden,529.054,0.127228936,54130,0.805162511
7,Poland,580.894,0.141143887,34484,0.117084618
9,Netherlands,886.339,0.223131782,59693,1
5,Spain,1247.464,0.320065366,43154,0.420741104
12,Italy,1848.222,0.481321512,44161,0.456010087
4,France,2551.451,0.670083041,49799,0.653474363
13,United Kingdom,2638.296,0.693394075,48727,0.615928832
8,Germany,3780.553,1,56226,0.878572429
